# Solver information
# Time        	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.0125        	smoothSolver	1.000000e+00	1.555400e-02	1000	false	smoothSolver	1.428910e-01	2.064660e-05	1000	false	GAMG	1.000000e+00	7.471180e-03	7	true
0.021875      	smoothSolver	1.620660e-01	1.123450e-06	1000	false	smoothSolver	1.202380e-01	9.913520e-08	608	true	GAMG	2.310470e-02	9.866990e-05	2	true
0.03125       	smoothSolver	7.350230e-02	6.573910e-07	1000	false	smoothSolver	7.480150e-02	9.918710e-08	605	true	GAMG	2.283580e-02	7.915470e-05	2	true
0.040625      	smoothSolver	4.440780e-02	4.374180e-07	1000	false	smoothSolver	5.574670e-02	9.999820e-08	589	true	GAMG	2.365790e-02	9.815050e-05	2	true
0.05          	smoothSolver	3.089730e-02	3.007560e-07	1000	false	smoothSolver	4.494890e-02	9.954310e-08	569	true	GAMG	2.683120e-02	7.590910e-05	2	true
0.06          	smoothSolver	2.396560e-02	3.284930e-07	1000	false	smoothSolver	3.955120e-02	9.961320e-08	585	true	GAMG	2.449940e-02	7.926550e-05	2	true
0.07          	smoothSolver	1.881690e-02	2.340800e-07	1000	false	smoothSolver	3.400420e-02	9.970700e-08	562	true	GAMG	2.347160e-02	7.819910e-05	2	true
0.08          	smoothSolver	1.537930e-02	1.705550e-07	1000	false	smoothSolver	2.988190e-02	9.991600e-08	541	true	GAMG	2.659210e-02	8.583620e-05	2	true
0.09          	smoothSolver	1.294250e-02	1.266220e-07	1000	false	smoothSolver	2.667910e-02	9.880620e-08	523	true	GAMG	2.217910e-02	5.987780e-05	2	true
0.1           	smoothSolver	1.113480e-02	9.952290e-08	995	true	smoothSolver	2.411360e-02	9.981340e-08	505	true	GAMG	1.825780e-02	6.122280e-05	2	true
0.11          	smoothSolver	9.745480e-03	9.957080e-08	963	true	smoothSolver	2.200690e-02	9.890730e-08	490	true	GAMG	1.731940e-02	5.229370e-05	2	true
0.12          	smoothSolver	8.670000e-03	9.947640e-08	938	true	smoothSolver	2.026670e-02	9.983700e-08	477	true	GAMG	1.598290e-02	4.899440e-05	2	true
0.13          	smoothSolver	7.803090e-03	9.960490e-08	912	true	smoothSolver	1.878630e-02	9.911100e-08	464	true	GAMG	1.522360e-02	6.430260e-05	2	true
0.14          	smoothSolver	7.057300e-03	9.990580e-08	888	true	smoothSolver	1.746860e-02	9.957310e-08	451	true	GAMG	1.685450e-02	5.003860e-05	2	true
0.15          	smoothSolver	6.427650e-03	9.935910e-08	867	true	smoothSolver	1.631550e-02	9.978000e-08	439	true	GAMG	1.398410e-02	5.226930e-05	2	true
0.16          	smoothSolver	5.886910e-03	9.944870e-08	847	true	smoothSolver	1.529880e-02	9.947630e-08	428	true	GAMG	1.240600e-02	3.148700e-05	2	true
