# y+ ()         
# Time          	patch           	min             	max             	average         
0.05            	rightWall	2.69853663e+00	8.00592759e+01	3.11659888e+01
0.05            	leftWall	2.74873216e+00	8.04913842e+01	3.23073921e+01
0.05            	lowerWall	2.57081608e+00	8.52206516e+01	7.00493414e+01
0.1             	rightWall	1.75203253e+00	4.77917037e+01	1.85744057e+01
0.1             	leftWall	1.87589925e+00	4.86491347e+01	2.01249155e+01
0.1             	lowerWall	1.00761670e+00	5.19374791e+01	4.18457175e+01
0.15            	rightWall	8.52447809e-01	3.49369752e+01	1.33381350e+01
0.15            	leftWall	1.05134394e+00	3.58931767e+01	1.49283835e+01
0.15            	lowerWall	1.19664752e+00	3.96337283e+01	3.08147067e+01
0.2             	rightWall	2.65051843e-01	2.78693527e+01	1.04287227e+01
0.2             	leftWall	1.77295108e-01	2.87464687e+01	1.18580349e+01
0.2             	lowerWall	9.65882475e-01	3.55578133e+01	2.47957191e+01
0.25            	rightWall	5.12120704e-01	2.34772871e+01	8.99933542e+00
0.25            	leftWall	2.13671666e-01	2.42197989e+01	1.00553005e+01
0.25            	lowerWall	8.29129055e-01	4.24610604e+01	2.10104883e+01
0.3             	rightWall	5.77258170e-01	2.06575495e+01	8.36748229e+00
0.3             	leftWall	2.39730171e-01	2.13810920e+01	8.86771450e+00
0.3             	lowerWall	7.87040101e-01	4.20671063e+01	1.84987545e+01
0.35            	rightWall	3.79644536e-01	1.86650864e+01	7.90113604e+00
0.35            	leftWall	2.07343904e-01	1.94579070e+01	8.22941242e+00
0.35            	lowerWall	1.45903403e+00	4.59896365e+01	1.67953591e+01
0.4             	rightWall	4.00392127e-01	1.71512729e+01	7.56858201e+00
0.4             	leftWall	1.10421643e+00	1.80675168e+01	7.62338623e+00
0.4             	lowerWall	1.73782994e+00	4.95170178e+01	1.56645991e+01
0.45            	rightWall	8.81020049e-01	1.59663022e+01	7.23869807e+00
0.45            	leftWall	1.19961246e+00	1.70091309e+01	7.17736534e+00
0.45            	lowerWall	1.94779379e+00	5.66796160e+01	1.47601505e+01
0.5             	rightWall	9.34896081e-01	1.50433956e+01	7.00613272e+00
0.5             	leftWall	1.23034053e+00	1.61707650e+01	6.69358935e+00
0.5             	lowerWall	1.39468589e+00	5.36770857e+01	1.39071650e+01
0.55            	rightWall	1.17177496e+00	1.42851005e+01	6.73608800e+00
0.55            	leftWall	1.26129341e+00	1.54807600e+01	6.03829777e+00
0.55            	lowerWall	1.67674190e+00	5.24446861e+01	1.30140460e+01
0.6             	rightWall	1.34220656e+00	1.36450426e+01	6.43028562e+00
0.6             	leftWall	1.29947208e+00	1.48923693e+01	5.47443035e+00
0.6             	lowerWall	1.48879304e+00	4.76812384e+01	1.22106908e+01
0.65            	rightWall	1.43681721e+00	1.30870826e+01	6.15925672e+00
0.65            	leftWall	1.28011069e+00	1.43783845e+01	5.04105672e+00
0.65            	lowerWall	1.28061663e+00	5.85510475e+01	1.16394787e+01
0.7             	rightWall	1.42702547e+00	1.25848526e+01	5.84003646e+00
0.7             	leftWall	1.20391391e+00	1.39252364e+01	4.62514602e+00
0.7             	lowerWall	1.13982107e+00	5.58087280e+01	1.11434466e+01
0.75            	rightWall	1.39072368e+00	1.21189664e+01	5.38027987e+00
0.75            	leftWall	1.11911455e+00	1.35213864e+01	4.25613514e+00
