# y+ ()       
# Time        	patch         	min           	max           	average       
0             	rightWall	1.505548e+01	2.220358e+02	9.707484e+01
0             	leftWall	1.502500e+01	2.215847e+02	9.687569e+01
0             	lowerWall	2.088649e+01	2.210283e+02	2.043571e+02
0.05          	rightWall	2.701136e+00	8.013101e+01	3.121337e+01
0.05          	leftWall	2.748731e+00	8.049124e+01	3.230738e+01
0.05          	lowerWall	2.570982e+00	8.523602e+01	7.004933e+01
0.1           	rightWall	1.754442e+00	4.783244e+01	1.860792e+01
0.1           	leftWall	1.875899e+00	4.864902e+01	2.012489e+01
0.1           	lowerWall	1.007586e+00	5.194682e+01	4.184578e+01
0.15          	rightWall	8.519651e-01	3.498350e+01	1.333551e+01
0.15          	leftWall	1.051346e+00	3.589287e+01	1.492838e+01
0.15          	lowerWall	1.196710e+00	3.963436e+01	3.081474e+01
0.2           	rightWall	2.654070e-01	2.790644e+01	1.044664e+01
0.2           	leftWall	1.773031e-01	2.874626e+01	1.185801e+01
0.2           	lowerWall	9.660128e-01	3.555263e+01	2.479573e+01
0.25          	rightWall	5.118286e-01	2.341669e+01	8.985625e+00
0.25          	leftWall	2.136639e-01	2.421961e+01	1.005537e+01
0.25          	lowerWall	8.290777e-01	4.246446e+01	2.101054e+01
0.3           	rightWall	5.769270e-01	2.069214e+01	8.368432e+00
0.3           	leftWall	2.397334e-01	2.138090e+01	8.867624e+00
0.3           	lowerWall	7.869968e-01	4.207051e+01	1.849875e+01
0.35          	rightWall	3.801672e-01	1.869879e+01	7.909370e+00
0.35          	leftWall	2.073415e-01	1.945774e+01	8.229284e+00
0.35          	lowerWall	1.459178e+00	4.599413e+01	1.679536e+01
0.4           	rightWall	4.001623e-01	1.711902e+01	7.562273e+00
0.4           	leftWall	1.104215e+00	1.806742e+01	7.623336e+00
0.4           	lowerWall	1.737829e+00	4.952184e+01	1.566460e+01
0.45          	rightWall	8.805205e-01	1.597755e+01	7.236692e+00
0.45          	leftWall	1.199612e+00	1.700910e+01	7.177321e+00
0.45          	lowerWall	1.947052e+00	5.668414e+01	1.476017e+01
0.5           	rightWall	9.343662e-01	1.506632e+01	7.007313e+00
0.5           	leftWall	1.230339e+00	1.617079e+01	6.693664e+00
0.5           	lowerWall	1.394754e+00	5.368556e+01	1.390721e+01
0.55          	rightWall	1.171111e+00	1.425863e+01	6.727190e+00
0.55          	leftWall	1.261291e+00	1.548084e+01	6.038311e+00
0.55          	lowerWall	1.676677e+00	5.244519e+01	1.301411e+01
0.6           	rightWall	1.344053e+00	1.367798e+01	6.500327e+00
0.6           	leftWall	1.299469e+00	1.489251e+01	5.474429e+00
0.6           	lowerWall	1.489248e+00	4.768591e+01	1.221072e+01
0.65          	rightWall	1.436004e+00	1.307013e+01	6.154556e+00
0.65          	leftWall	1.280108e+00	1.437856e+01	5.041067e+00
0.65          	lowerWall	1.280572e+00	5.855677e+01	1.163955e+01
0.7           	rightWall	1.428989e+00	1.261931e+01	5.898446e+00
0.7           	leftWall	1.203913e+00	1.392547e+01	4.625174e+00
0.7           	lowerWall	1.139774e+00	5.581418e+01	1.114345e+01
0.75          	rightWall	1.392636e+00	1.215403e+01	5.423812e+00
0.75          	leftWall	1.119115e+00	1.352112e+01	4.256118e+00
0.75          	lowerWall	1.229088e+00	4.137177e+01	1.070231e+01
0.8           	rightWall	1.206415e+00	1.170742e+01	4.765562e+00
0.8           	leftWall	7.900477e-01	1.315973e+01	3.816099e+00
0.8           	lowerWall	1.338128e+00	3.937681e+01	1.036674e+01
0.85          	rightWall	9.056773e-01	6.805666e+00	4.215838e+00
0.85          	leftWall	4.612798e-01	1.314847e+01	3.450673e+00
0.85          	lowerWall	1.376525e+00	3.731142e+01	1.004134e+01
0.9           	rightWall	5.434147e-01	6.404555e+00	4.053560e+00
0.9           	leftWall	3.897992e-01	1.314377e+01	3.165408e+00
0.9           	lowerWall	1.288053e+00	3.523253e+01	9.718419e+00
0.95          	rightWall	3.526746e-01	5.925043e+00	3.823346e+00
0.95          	leftWall	3.830338e-01	1.314538e+01	2.891085e+00
0.95          	lowerWall	1.096488e+00	3.946639e+01	9.388100e+00
1             	rightWall	4.466528e-01	5.364662e+00	3.563279e+00
1             	leftWall	2.633897e-01	1.314903e+01	2.586900e+00
1             	lowerWall	8.265982e-01	4.936199e+01	9.241392e+00
1.05          	rightWall	3.847208e-01	5.274197e+00	3.250945e+00
1.05          	leftWall	2.464854e-01	1.315462e+01	2.646452e+00
1.05          	lowerWall	5.224540e-01	7.242811e+01	9.133184e+00
1.1           	rightWall	3.639190e-01	5.206630e+00	2.938550e+00
1.1           	leftWall	3.594454e-01	1.315936e+01	2.884701e+00
1.1           	lowerWall	6.112271e-01	8.012921e+01	8.885931e+00
1.15          	rightWall	3.132416e-01	5.142744e+00	2.662629e+00
1.15          	leftWall	4.491180e-01	1.315987e+01	3.054145e+00
1.15          	lowerWall	4.655186e-01	8.410241e+01	8.729673e+00
1.2           	rightWall	3.528180e-01	5.091015e+00	2.682136e+00
1.2           	leftWall	2.822146e-01	1.315535e+01	3.170617e+00
1.2           	lowerWall	2.764719e-01	8.641431e+01	8.839372e+00
1.25          	rightWall	5.042276e-01	5.036320e+00	2.957869e+00
1.25          	leftWall	2.893515e-01	1.314885e+01	3.251770e+00
1.25          	lowerWall	4.983550e-01	8.839648e+01	9.149990e+00
1.3           	rightWall	5.278865e-01	5.379480e+00	3.232927e+00
1.3           	leftWall	1.719042e-01	1.315188e+01	3.261517e+00
1.3           	lowerWall	3.974807e-01	8.991823e+01	1.003620e+01
1.35          	rightWall	4.515032e-01	6.108067e+00	3.453862e+00
1.35          	leftWall	2.542792e-01	1.315670e+01	3.254766e+00
1.35          	lowerWall	4.419254e-01	9.117871e+01	1.116114e+01
1.4           	rightWall	5.534901e-01	6.769654e+00	3.647431e+00
1.4           	leftWall	2.510237e-01	1.315452e+01	3.206486e+00
1.4           	lowerWall	3.666692e-01	9.249706e+01	1.240945e+01
1.45          	rightWall	5.665279e-01	7.343167e+00	3.790226e+00
1.45          	leftWall	2.128706e-01	1.314758e+01	3.230325e+00
1.45          	lowerWall	2.012197e+00	9.550058e+01	1.406053e+01
1.5           	rightWall	4.836784e-01	1.257225e+01	4.021896e+00
1.5           	leftWall	3.069590e-01	1.314594e+01	3.237564e+00
1.5           	lowerWall	2.104922e+00	9.842866e+01	1.554931e+01
1.55          	rightWall	3.589341e-01	1.876332e+01	4.375822e+00
1.55          	leftWall	2.621951e-01	1.314442e+01	3.262668e+00
1.55          	lowerWall	2.028318e+00	1.012700e+02	1.695508e+01
1.6           	rightWall	2.864071e-01	2.451492e+01	4.855455e+00
1.6           	leftWall	2.510701e-01	1.313904e+01	3.277854e+00
1.6           	lowerWall	1.958934e+00	1.039578e+02	1.823575e+01
1.65          	rightWall	1.988711e-01	2.896967e+01	5.239742e+00
1.65          	leftWall	1.606437e-01	1.313252e+01	3.404030e+00
1.65          	lowerWall	1.895057e+00	1.063862e+02	1.941979e+01
1.7           	rightWall	1.945262e-01	3.194632e+01	5.650516e+00
1.7           	leftWall	1.560856e-01	1.312626e+01	3.427062e+00
1.7           	lowerWall	1.804980e+00	1.084545e+02	2.051787e+01
1.75          	rightWall	2.079771e-01	3.421172e+01	6.034083e+00
1.75          	leftWall	1.694365e-01	1.312179e+01	3.509603e+00
1.75          	lowerWall	1.214206e+00	1.102535e+02	2.152137e+01
1.8           	rightWall	1.685340e-01	3.606373e+01	6.382175e+00
1.8           	leftWall	2.888779e-01	1.321414e+01	3.631097e+00
1.8           	lowerWall	1.531559e+00	1.117872e+02	2.244558e+01
1.85          	rightWall	3.160886e-01	3.723599e+01	6.612838e+00
1.85          	leftWall	2.602128e-01	1.380462e+01	3.668888e+00
1.85          	lowerWall	1.650761e+00	1.130446e+02	2.332048e+01
1.9           	rightWall	3.268799e-01	3.823973e+01	6.956104e+00
1.9           	leftWall	2.463710e-01	1.455859e+01	3.756376e+00
1.9           	lowerWall	1.556003e+00	1.137190e+02	2.414160e+01
1.95          	rightWall	3.284684e-01	3.898807e+01	7.196293e+00
1.95          	leftWall	2.857701e-01	1.536085e+01	3.831182e+00
1.95          	lowerWall	1.411314e+00	1.138189e+02	2.493604e+01
2             	rightWall	3.375443e-01	3.951902e+01	7.297175e+00
2             	leftWall	3.539861e-01	1.626554e+01	3.941249e+00
2             	lowerWall	1.232748e+00	1.140087e+02	2.568794e+01
2.05          	rightWall	3.940965e-01	3.989344e+01	7.432780e+00
2.05          	leftWall	3.528792e-01	1.727781e+01	4.022174e+00
2.05          	lowerWall	1.007401e+00	1.134995e+02	2.642666e+01
2.1           	rightWall	3.336999e-01	4.007510e+01	7.495283e+00
2.1           	leftWall	2.556342e-01	1.826284e+01	4.191875e+00
2.1           	lowerWall	6.812580e-01	1.121640e+02	2.709631e+01
2.15          	rightWall	3.388769e-01	4.006852e+01	7.505327e+00
2.15          	leftWall	2.576505e-01	1.947494e+01	4.288676e+00
2.15          	lowerWall	3.436327e-01	1.110842e+02	2.773608e+01
2.2           	rightWall	3.956705e-01	3.992317e+01	7.473417e+00
2.2           	leftWall	3.173636e-01	2.054345e+01	4.511150e+00
2.2           	lowerWall	8.133453e-01	1.098642e+02	2.838281e+01
2.25          	rightWall	3.766451e-01	3.965515e+01	7.401725e+00
2.25          	leftWall	4.457767e-01	2.189803e+01	4.659903e+00
2.25          	lowerWall	5.081931e-01	1.097115e+02	2.901236e+01
2.3           	rightWall	4.433322e-01	3.927214e+01	7.253078e+00
2.3           	leftWall	6.448906e-01	2.315286e+01	4.954290e+00
2.3           	lowerWall	5.741561e-01	1.109205e+02	2.947995e+01
2.35          	rightWall	3.348535e-01	3.876335e+01	7.210451e+00
2.35          	leftWall	8.348748e-01	2.458016e+01	5.206627e+00
2.35          	lowerWall	4.896132e-01	9.726565e+01	2.982428e+01
2.4           	rightWall	3.270913e-01	3.810739e+01	7.296523e+00
2.4           	leftWall	1.304395e+00	2.593736e+01	5.640013e+00
2.4           	lowerWall	7.563356e-01	8.973748e+01	2.992303e+01
2.45          	rightWall	4.563801e-01	3.737042e+01	7.189536e+00
2.45          	leftWall	1.392044e+00	2.749959e+01	5.930384e+00
2.45          	lowerWall	7.387016e-01	8.049112e+01	3.003302e+01
2.5           	rightWall	5.834333e-01	3.659498e+01	7.308631e+00
2.5           	leftWall	1.439449e+00	2.889911e+01	6.455730e+00
2.5           	lowerWall	1.279255e+00	7.836374e+01	3.014699e+01
2.55          	rightWall	6.162137e-01	3.578844e+01	7.270967e+00
2.55          	leftWall	1.429006e+00	3.049638e+01	6.888426e+00
2.55          	lowerWall	1.391547e+00	8.158752e+01	3.012714e+01
2.6           	rightWall	6.370469e-01	3.487594e+01	7.357129e+00
2.6           	leftWall	1.414885e+00	3.189603e+01	7.536398e+00
2.6           	lowerWall	1.847108e+00	8.324572e+01	2.994878e+01
2.65          	rightWall	6.193061e-01	3.407834e+01	7.454349e+00
2.65          	leftWall	1.286310e+00	3.348057e+01	8.100518e+00
2.65          	lowerWall	1.556677e+00	9.939971e+01	2.999084e+01
2.7           	rightWall	7.575165e-01	3.347134e+01	7.449068e+00
2.7           	leftWall	1.011105e+00	3.485771e+01	8.774676e+00
2.7           	lowerWall	1.921407e+00	8.530177e+01	3.004636e+01
2.75          	rightWall	6.560860e-01	3.298623e+01	7.523912e+00
2.75          	leftWall	4.841548e-01	3.624162e+01	9.439398e+00
